Merchant Name,Review Text
www.amazon.com,"Had a few deliveries from Amazon. They deliver when they say they will. Products usually match description and have had no issues with returns. Do find it a bit odd when the delivery says ""handed to resident"" when it has clearly been  just dropped on driveway or left on doorstep. Otherwise 5 stars."
www.amazon.com,Used them for nearly 20 years since my college days when they were just a book store.  Never an issue and they always make it right if there’s an issue.
www.amazon.com,"Amazon are absolutely terrible and full of useless couriers. Three parcels this week have been left on my doorstep despite clear precise instructions been given and notices in my opened Porch not to leave Parcels on the doorstep and every single time they are ignored I have lost 3 Parcels this week absolutely disgusting and will not be using Amazon again. Customer service are no better. They just come up with feeble excuses and say they’re going to make sure it doesn’t happen again, but it happens every single time and I’m sick to death of it. They need to all be retrained."
www.amazon.com,"Impossible to get anbissue sorted with items delivered, long process of talking to chat bots then very unknowlegable staff online extremely unhelpful lately now hardly order from Amazon as such poor customer service"
www.amazon.com,Gutted my profile appeal system doesn't work no response from HR or Erc wasn't set up for success was actively mocked hazed and bullied and never got the support I needed all while my mental health was seen as joke by upper management.
www.amazon.com,"I shop on Amazon regularly. Some items have been great other not quite as advertised, however I have always found Amazon customer service to be helpful & efficient Easy to get to speak to someone. I have no worries of ordering from Amazon as any problems I'm confident will be addressed & resolved quickly."
www.amazon.com,I used to buy multiple things at a time to see what I liked better or what fit best if it be clothing. But my last experience with returning an item was sub par. It’s taking forever to get my refund. So from now on I will only buy one thing at a time
www.amazon.com,"Up until recently deliveries generally arrived on time and where there has been the odd thing that I've sent back it  worked well, I just took it into the local Post Office and off it went.

However if the package doesn't actually arrive it's a nightmare. Amazon said they had handed it to me, that was a lie, they did not and it wasn't anywhere to be seen, at least near my property and no neighbour came round with it.

This is where it gets really bad. Their 'Customer Service', which consists of useless chatbots and even more useless humans (probably based offshore) just give you the run around, they pass you from one to another, they can't sort anything out at all or even tell you anything useful.

If you battle hard enough, like I did, you'll eventually get a refund, but no explanation at all as to what happened to your package nor any offer of compensation for the trouble experienced.

The thing that really hacked me off was that despite telling them the package never arrived they leave the status at Delivered, Handed to Resident, with the obvious implication that you received it, kept it and are lying about it. Thus they impugn you and I am now considering legal action on that point, it's defamatory.

The other issue is that since they never tell you what happened to your order you're not sure whether it might turn up in a few days, or a week which makes it very difficult to re-order one just in case it turns up the day after.

The people at their head office in London aren't much better, hide behind corporate waffle and seem to me that they are covering up with problems they are having with deliveries.

My advice is don't order unless you want to deal with a nightmare if it doesn't arrive."
www.amazon.com,"I order quite a bit from Amazon. Usually on a weekly, anywhere from necessities to nonsense and spur of the moment things.

Recently purchased a 4 person Excursion inflatable boat with cost being over $300 and delivery date for the following day.

Once Amazon received my payment, a few hours elapsed and then I received an email advising that my delivery was now 2 days later than originally told.

This is not the fist time Amazon has proceeded to sort their deliveries this way.

If this the case, why are we paying for Prime? And why is services depleting from the beginning? Shouldn’t it be on the rise, getting even better? 

They millions of employees/vehicles, there’s no excuse.

And if you can’t deliver the following day…it’s OK to say so, just let the consumer know and let them decide if they want that product and delivery time.

Fawnzy"
www.amazon.com,nothing to see here... like amazons after sales services
